966.5,653.4,120.2,
966.5,654.3,121.1,
966.5,653.4,120.2,
966.5,653.5,120.3,
966.5,653.7,120.5,
966.5,653.9,120.7,
966.5,653.4,120.2,
966.5,653.8,120.6,
966.5,653.5,120.3,
966.5,653.7,120.5,
966.5,653.7,120.5,
966.5,654.1,120.9,
966.5,653.7,120.5,
966.5,653.9,120.7,
966.5,654.1,120.9,
966.6,653.5,120.3,
966.6,653.6,120.4,
966.5,654.0,120.8,
966.5,653.5,120.3,
966.6,653.7,120.5,
966.5,654.0,120.8,
966.6,653.2,120.0,
966.6,653.4,120.2,
966.6,653.3,120.1,
966.5,653.3,120.1,
966.6,653.7,120.5,
966.5,653.8,120.6,
966.6,653.9,120.7,
966.6,653.6,120.4,
966.6,653.6,120.4,
966.6,654.0,120.8,
966.6,652.7,119.4,
966.6,653.8,120.6,
966.6,654.2,121.0,
966.6,653.3,120.1,
966.6,654.6,121.5,
966.5,653.9,120.7,
966.6,653.9,120.7,
966.6,654.0,120.8,
966.6,654.0,120.8,
966.6,653.8,120.6,
966.6,653.7,120.5,
966.6,653.8,120.6,
966.6,653.9,120.7,
966.6,653.8,120.6,
966.6,653.4,120.2,
966.6,654.2,121.0,
966.6,653.3,120.1,
966.6,654.3,121.1,
966.6,653.9,120.7,
966.6,653.8,120.6,
966.6,653.7,120.5,
966.6,653.8,120.6,
966.6,653.5,120.3,
966.6,653.1,119.9,
966.6,653.8,120.6,
966.6,653.7,120.5,
966.6,653.4,120.2,
966.6,653.2,120.0,
966.6,653.4,120.2,
966.5,653.8,120.6,
966.6,653.9,120.7,
966.6,653.5,120.3,
966.6,654.2,121.0,
966.6,653.6,120.4,
966.6,653.8,120.6,
966.6,653.9,120.7,
966.6,653.7,120.5,
966.6,653.6,120.4,
966.6,653.1,119.9,
966.6,653.6,120.4,
966.6,653.7,120.5,
966.6,653.8,120.6,
966.6,653.5,120.3,
966.6,654.3,121.1,
966.6,653.4,120.2,
966.6,653.7,120.5,
966.6,653.5,120.3,
966.6,653.3,120.1,
966.7,653.6,120.4,
966.6,653.3,120.1,
966.6,652.8,119.6,
966.6,653.5,120.3,
966.6,652.7,119.4,
966.6,654.2,121.0,
966.6,654.0,120.8,
966.6,653.8,120.6,
966.6,653.7,120.5,
966.6,654.7,121.6,
966.6,653.4,120.2,
966.7,653.6,120.4,
966.6,653.9,120.7,
966.6,654.0,120.8,
966.7,653.8,120.6,
966.6,654.1,120.9,
966.7,653.7,120.5,
966.6,653.9,120.7,
966.6,653.6,120.4,
966.7,653.9,120.7,
966.6,654.6,121.5,
966.6,653.5,120.3,
966.6,654.8,121.7,
966.7,654.1,120.9,
966.7,653.7,120.5,
966.6,654.1,120.9,
966.6,653.7,120.5,
966.7,653.8,120.6,
966.6,654.0,120.8,
966.6,653.9,120.7,
966.7,653.9,120.7,
966.6,653.8,120.6,
966.7,653.8,120.6,
966.6,653.8,120.6,
966.6,653.9,120.7,
966.7,653.8,120.6,
966.6,654.4,121.2,
966.6,653.8,120.6,
966.7,653.6,120.4,
966.6,653.4,120.2,
966.6,653.9,120.7,
